Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
Fsn Distribution Ltd_Sarpara,Direct,Nykaa SS(fsn),East,Northeast-Assam,Nykaa SS(fsn)
Fsn Distribution Ltd_Tiruvallur,Direct,Nykaa SS(fsn),South-1,Tamil Nadu,Nykaa SS(fsn)
Fsn Distribution Ltd_Village Gurhi,Direct,Nykaa SS(fsn),North,Haryana,Nykaa SS(fsn)
Fsn Distribution Ltd_Village Sonale,Direct,Nykaa SS(fsn),West,Mumbai,Nykaa SS(fsn)
Fsn Distribution Ltd_Yamjal Village,Direct,Nykaa SS(fsn),South-2,Telangana,Nykaa SS(fsn)
G.V Enterprises,Dist.,Lulu,South-1,Tamil Nadu,Apollo; D-Mart; Lulu; Pothys
Ganapati Distributor MT,Dist.,Vishal Mega Mart,East,Orissa,Vishal Mega Mart
Guardian Healthcare Services Pvt Ltd(DL),Direct,Guardian,North,Delhi,Guardian
Health & Glow Private limited-HG-RO-BLR,Direct,Health & Glow,South-1,Karnataka,Health & Glow
Health & Glow Private limited-HG-RO-CHE,Direct,Health & Glow,South-1,Tamil Nadu,Health & Glow
Health & Glow Private limited-HG-RO-HYD,Direct,Health & Glow,South-2,Telangana,Health & Glow
Health & Glow Private limited-HG-RO-MUM,Direct,Health & Glow,West,Mumbai,Health & Glow
Health & Glow Private limited-HG-RO-WB,Direct,Health & Glow,East,West Bengal,Health & Glow
JB Pharma_MT,Dist.,V-Mart,East,Jharkhand,V-Mart
JUST MARK-Dmart,Dist.,D-Mart,West,Gujarat,D-Mart
JUST MARK-Dmart_ship to,Dist.,D-Mart,West,Gujarat,D-Mart
Kiran Trading Co- Dmart,Dist.,D-Mart,West,Pune,D-Mart
Kiran Trading Co_Shipto (Solapur),Dist.,D-Mart,West,Pune,D-Mart
Kiran Trading Company_Ship to,Dist.,D-Mart,West,Pune,D-Mart
LIFESTYLE INTERNATIONAL PVT LTD_SHIP TOPhoenix Market City-LS-BLR,Direct,Lifestyle,South-1,Karnataka,Lifestyle
LIFESTYLE INTERNATIONAL_Ship To,Direct,Lifestyle,West,Gujarat,Lifestyle
Life Style International Pvt Ltd_Bill To,Direct,Lifestyle,South-1,Tamil Nadu,Lifestyle
Lifestyle International Pvt Ltd-Shinvglu,Direct,Lifestyle,South-1,Karnataka,Lifestyle
Lifestyle International Pvt LtdBabyshop,Direct,Lifestyle Babyshop,South-1,Karnataka,Lifestyle Babyshop
Lifestyle International Pvt LtdBabyshop_Ship To,Direct,Lifestyle Babyshop,South-1,Karnataka,Lifestyle Babyshop
Lifestyle International Pvt LtdBorivali_Bill To,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt LtdBorivali_Ship To,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt LtdGhatkopar_Ship To,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt LtdKhayala,Direct,Lifestyle,North,Delhi,Lifestyle
Lifestyle International Pvt LtdKurla_Ship To,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt LtdLucknow_Ship To,Direct,Lifestyle,North,UPE,Lifestyle
Lifestyle International Pvt LtdThane_Ship To,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt LtdVelachery_Ship To,Direct,Lifestyle,South-1,Tamil Nadu,Lifestyle
Lifestyle International Pvt Ltd_HR,Direct,Lifestyle Babyshop,North,Haryana,Lifestyle Babyshop
Lifestyle International Pvt Ltd_HYD,Direct,Lifestyle,South-2,Telangana,Lifestyle
Lifestyle International Pvt Ltd_KA,Direct,Lifestyle,South-1,Karnataka,Lifestyle
Lifestyle International Pvt Ltd_Ship to,Direct,Lifestyle,South-2,Telangana,Lifestyle
Lifestyle International Pvt Ltd_VegaBill To,Direct,Lifestyle,East,West Bengal,Lifestyle
Lifestyle International Pvt Ltd_VegaShip To,Direct,Lifestyle,East,West Bengal,Lifestyle
Lifestyle International Pvt. Ltd-Mumbai,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt. Ltd-Oberoi,Direct,Lifestyle,West,Mumbai,Lifestyle
Lifestyle International Pvt. Ltd-Pacific,Direct,Lifestyle,North,Delhi,Lifestyle
M/S KOTTARAM BUSINESS CORPORATION-MT,Dist.,Lulu,South-1,Kerala,Apollo; Health & Glow; Lulu
MANOJ SOAP AGENCY-MT,Dist.,Deal Share,North,Rajasthan,Deal Share; Vishal Mega Mart
MARK ENTERPRISE,Dist.,Apollo,West,Gujarat,Apollo
Mahaveer Medi-Sales Private Limited(A unit of AWPSPL),Direct,Ascent Wellness,South-1,Karnataka,Ascent Wellness
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR,Direct,Metro CNC,South-1,Karnataka,Metro CNC
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro CNC,South-1,Karnataka,Metro CNC
