Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
494590491.0,ME Aloe Refresh Hydrating Light Gel Moisturizer 200 G,8904417319927.0,Mamaearth,Face,Moisturisers,Aloe Vera,200.0
494590492.0,ME Vitamin C Daily Glow Light Gel Moisturizer 200 G,8904417319880.0,Mamaearth,Face,Moisturisers,Vitamin C,200.0
494590516.0,ME Beetroot Hydraful Light Gel Moisturizer 200 G,8904417319873.0,Mamaearth,Face,Moisturisers,Beetroot,200.0
MAM0520,ME Rice Dewy Bright Light Gel Moisturizer 200 G,8904417319910.0,Mamaearth,Face,Moisturisers,Rice,200.0
10157647.0,Beetroot Hydraful Light Moisturizing Cream 50 g - offline saver pack,8904417318302.0,Mamaearth,Face,Moisturisers,Beetroot,50.0
,Vitamin C Daily Glow Light Moisturizing Cream 50 g - Offline saver pack,8904417318333.0,Mamaearth,Face,Moisturisers,Vitamin C,50.0
,ME Cocoa Rich Moisturizing Cream 50 g - Offline Saver Pack,8904417318418.0,Mamaearth,Face,Moisturisers,Cocoa,50.0
M1761,ME Rice Dewy Bright Light Moisturizing Cream 50 g - Offline Saver Pack,8904417318432.0,Mamaearth,Face,Moisturisers,Rice,50.0
,ME Aloe Refresh Hydrating Light Gel Moisturizer 50 g,8904417320732.0,Mamaearth,Face,Moisturisers,Aloe Vera,50.0
200010077.0,ME Vitamin C Daily Glow Light Gel Moisturizer 50 G,8904417320725.0,Mamaearth,Face,Moisturisers,Vitamin C,50.0
,ME :  Onion Shampoo 250 ml + Onion Hair Oil 100 ml = 350 ml,8904417315042.0,Mamaearth,Hair,Combo,Onion,350.0
,ME Rosemary shampoo 250 ml + Rosemary Oil 100 ml = 350 ml,8904417315035.0,Mamaearth,Hair,Combo,Rosemary,350.0
,ME Beetroot Hydraful Light Gel Moisturizer 50 G,8904417322675.0,Mamaearth,Face,Moisturisers,Beetroot,50.0
,TDC Sali-Cinamide Anti- Acne Face Serum_10ml,8904417313437.0,The Derma Co.,Face,Face Serum,Sali-Cinamide,10.0
,TDC 2% Sali-Cinamide Anti-Acne Face Wash,8904417319637.0,The Derma Co.,Face,Face Cleanser,Sali-Cinamide,50.0
,2% Sali-Cinamide Anti-Acne Face Wash30ml,8904417313000.0,The Derma Co.,Face,Face Cleanser,Sali-Cinamide,30.0
MAM0487,ME Rosemary Anti-Hairfall Shampoo 400 ml,8904417310351.0,Mamaearth,Hair,Shampoo,Rosemary,400.0
494410791.0,Vitamin C Daily Glow Sunscreen 80 g,8904417311501.0,Mamaearth,Face,Sun Care,Vitamin C,80.0
494515735.0,Rice Water Dewy Sunscreen 80 g,8904417316896.0,Mamaearth,Face,Sun Care,Rice,80.0
500021059.0,Cocoa Rich Moisturizing Body Lotion 400 ml,8904417317275.0,Mamaearth,Body,Body Lotion,Cocoa,400.0
494491686.0,Rice Water Hydrating Body Lotion 400 ml,8904417317244.0,Mamaearth,Body,Body Lotion,Rice Water,400.0
562923.0,Rice Water Conditioner 250 ml,8906087775096.0,Mamaearth,Hair,Conditioner,Rice,250.0
48501.0,Onion Shampoo 1 Ltr.,8906087776352.0,Mamaearth,Hair,Shampoo,Onion,1000.0
MAM0491,Ubtan Moisturizing Body Wash 275 ml,8904417317053.0,Mamaearth,Body,Body Wash,Ubtan,275.0
557015.0,BhringAmla Hair Oil with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250ml,8906087772873.0,Mamaearth,Hair,Hair Oil,Bhringamla,250.0
1097648,Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks & Scars Ã¯Â¿Â½ 30 ml,8906087772330.0,Mamaearth,Face,Face Serum,Niacinamide,30.0
492506700.0,Mamaearth Tea Tree Facewash For Acne & Pimples 250ml,8906087773917.0,Mamaearth,Face,Face Cleanser,Tea Tree,250.0
494431424.0,ME Rosemary hair Growth Oil 200 ml,8904417313574.0,Mamaearth,Hair,Hair Oil,Rosemary,200.0
500021382.0,Rosemary Anti-Hairfall Shampoo 600 ml,8904417315073.0,Mamaearth,Hair,Shampoo,Rosemary,600.0
494337270.0,Vitamin C Oil-Free Moisturizer 50 g,8904417311464.0,Mamaearth,Face,Moisturisers,Vitamin C,50.0
500019612.0,Ubtan Nourishing Cold Cream 200 g,8906087777212.0,Mamaearth,Face,Cold Cream,Ubtan,200.0
493654984.0,Salon Secret High Shine CrÃ¨me Hair Colour Mahogany Reddish Brown 108 g,8906087779452.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
542392.0,Salon Secret High Shine CrÃ¨me Hair Colour Wine Deep Burgundy 108 g,8906087779469.0,BBLUNT,Hair Colour,Creme Hair Colour,Salon Secret,108.0
494337200.0,ME Ubtan Face Wash for Tan Removal 100ml+Moisturising Lotion Soap - Ubtan - Single 125g,8904417313130.0,Mamaearth,Face,Face Cleanser,Ubtan,225.0
