Brand,EAN,First_Observed,Num_Chains,Observed_Chains,Total_Rows,Total_NSV_Lakh
MAMAEARTH,8904417316346,2026-07,19,AIRPLAZA|ARAMBAGH|AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|CHOUDHARY ENTERPRISES|D.L. SALES - MT|MANOJ SOAP AGENCY-MT|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|RR TRADERS-MT|SANCUS NETWORKS-MT-REG.|SEHAJ ENTERPRISES -MT-JK|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|TROY TRADEX-MT-OR -EAST|VENKATESHWARA AGENCIES-TG|VMM,384,30.433357400000002
MAMAEARTH,8904417310245,2026-07,8,D-MART-OFFLINE|DMART|G.V ENTERPRISES|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|METRO-CNC-RRL|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES,71,29.150363
MAMAEARTH,8904417311570,2026-07,14,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|G.V ENTERPRISES|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|MORE RETAIL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|TROY TRADEX-MT-OR -EAST|V-MART|VENKATESHWARA AGENCIES-TG,157,28.1820815
MAMAEARTH,8904417306439,2026-07,14,APOLLO PHARMACY|AZ ENTERPRISES-MT|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.,169,27.359285355932204
MAMAEARTH,8904417317275,2026-07,9,AZ ENTERPRISES-MT|D-MART-OFFLINE|DMART|G.V ENTERPRISES|HEALTH & GLOW|KIRAN TRADING COMPANY-SOLAPUR-D-MART|METRO-CNC-RRL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.,175,27.193000952542373
MAMAEARTH,8904417316896,2026-07,18,APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|D-MART-OFFLINE|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SUMO SAVE|TRAVEL NEWS SERVICES-WSMITH|V-MART,161,25.59417567457627
MAMAEARTH,8904417305258,2026-07,23,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|BALAJI ASSOCIATES DISTRIBUTOR MT|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|MORE RETAIL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SPENCER|SRI VIJAYA DURGA AGENCIES|SUMO SAVE|VMM,191,25.558335220338982
MAMAEARTH,8906087771333,2026-07,19,AIRPLAZA|APOLLO PHARMACY|ARAMBAGH|D.L. SALES - MT|DMART|FRANK ROSS|G.V ENTERPRISES|HEALTH & GLOW|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|METRO-CNC-RRL|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SASTA SUNDAR|SPENCER|SUMO SAVE|V-MART|VMM,200,24.980913505084747
MAMAEARTH,8904417322774,2026-07,6,APOLLO PHARMACY|AZ ENTERPRISES-MT|LULU HYPER|METRO-CNC-RRL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.,125,24.455726588135594
MAMAEARTH,8904417311587,2026-07,12,APOLLO PHARMACY|BALAJI ASSOCIATES DISTRIBUTOR MT|D.L. SALES - MT|LULU HYPER|M/S KOTTARAM BUSINESS|METRO-CNC-RRL|MORE RETAIL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|TROY TRADEX-MT-OR -EAST|V-MART,155,24.28539268095238
MAMAEARTH,8904417317268,2026-07,18,APOLLO PHARMACY|ARAMBAGH|AZ ENTERPRISES-MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|JUST MARK-D-MART|LULU HYPER|MARK ENTERPRISE-APOLLO|METRO-CNC-RRL|REAL TIME LOGISTICS_MT_BR|RRL-FOC-SAMPLE|SANCUS NETWORKS-MT-REG.|V-MART|VENKATESHWARA AGENCIES-TG,63,24.083981876271185
MAMAEARTH,8904417322361,2026-07,8,APOLLO PHARMACY|BALAJI ASSOCIATES DISTRIBUTOR MT|D.L. SALES - MT|METRO-CNC-RRL|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES|V-MART|VENKATESHWARA AGENCIES-TG,112,21.9045288
MAMAEARTH,8906087770442,2026-07,10,APOLLO PHARMACY|D-MART-OFFLINE|DMART|G.V ENTERPRISES|JUST MARK-D-MART|METRO-CNC-RRL|MORE RETAIL|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES,40,19.8163578
MAMAEARTH,8904417323696,2026-07,4,BALAJI ASSOCIATES DISTRIBUTOR MT|METRO-CNC-RRL|RELIANCE RETAIL|SRI VIJAYA DURGA AGENCIES,72,19.4476342
MAMAEARTH,8904417308129,2026-07,7,APOLLO PHARMACY|G.V ENTERPRISES|LULU HYPER|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SPENCER,86,17.826569747457626
MAMAEARTH,8906087776215,2026-07,10,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|G.V ENTERPRISES|MARK ENTERPRISE-APOLLO|NYKAA E-RETAIL LIMITED|RELIANCE RETAIL|SANCUS NETWORKS-MT-REG.|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG,90,17.71168347142857
MAMAEARTH,8904417317183,2026-07,19,AZ ENTERPRISES-MT|BALAJI ASSOCIATES DISTRIBUTOR MT|CHOUDHARY ENTERPRISES|D-MART-OFFLINE|D.L. SALES - MT|DMART|G.V ENTERPRISES|HEALTH & GLOW|KIRAN TRADING COMPANY-SOLAPUR-D-MART|LULU HYPER|M/S KOTTARAM BUSINESS|MARK ENTERPRISE-APOLLO|METRO-CNC-RRL|REAL TIME LOGISTICS_MT_BR|RELIANCE RETAIL|RRL-FOC-SAMPLE|SANCUS NETWORKS-MT-REG.|V-MART|VENKATESHWARA AGENCIES-TG,77,17.100353276271186
MAMAEARTH,8906087770022,2026-07,12,APOLLO PHARMACY|AZ ENTERPRISES-MT|D.L. SALES - MT|FRANK ROSS|G.V ENTERPRISES|LULU HYPER|MARK ENTERPRISE-APOLLO|NYKAA E-RETAIL LIMITED|SPENCER|SRI VIJAYA DURGA AGENCIES|VENKATESHWARA AGENCIES-TG|WELLNESS FOREVER,126,14.643049261904762
MAMAEARTH,8904417317053,2026-08,4,APOLLO PHARMACY|METRO-CNC-RRL|RELIANCE RETAIL|TRAVEL NEWS SERVICES-WSMITH,83,14.3698643
