Zone	Brand	SubCat	Apr-26	May-26	Jun-26	Q1T
WEST	Mamaearth	Kajal	0	0	0	0
WEST	Mamaearth	Kids Body Wash	0	0		0
WEST	Mamaearth	Kids Face Wash	0	0	0	0
WEST	Mamaearth	Kids Soap	0	0	0	1
WEST	Mamaearth	Lip Balm	0	0	0	1
WEST	Mamaearth	Lipstick			0	0
WEST	Mamaearth	Liquid Lipstick	0	0		0
WEST	Mamaearth	Massage Oil	0	0	0	0
WEST	Mamaearth	Moisturisers	11	11	12	33
WEST	Mamaearth	Mosquito Protection	1	0	1	2
WEST	Mamaearth	Oral	2	2	2	7
WEST	Mamaearth	OTC	1	1	1	2
WEST	Mamaearth	Shampoo	169	175	191	534
WEST	Mamaearth	Soap	6	6	7	20
WEST	Mamaearth	Sun Care	103	88	51	242
WEST	Mamaearth	Under Eye Care	0	0	0	0
WEST	The Derma Co.	BB Cream	0	0	0	0
WEST	The Derma Co.	Body Lotion	0			0
WEST	The Derma Co.	Body Wash	0	0	0	0
WEST	The Derma Co.	Cream	1	1	1	3
WEST	The Derma Co.	Face Cleanser	152	215	230	597
WEST	The Derma Co.	Face Gel	0			0
WEST	The Derma Co.	Face Masks	2	2	2	5
WEST	The Derma Co.	Face Serum	22	19	18	59
WEST	The Derma Co.	Hair Serum	0	0		0
WEST	The Derma Co.	Lip Balm	0	0	0	0
WEST	The Derma Co.	Moisturisers	3	3	2	8
WEST	The Derma Co.	Shampoo	0	0	0	1
WEST	The Derma Co.	Soap	0	0	0	1
WEST	The Derma Co.	Sun Care	85	119	76	280
WEST	Aqualogica	Face Cleanser	1	1	1	2
WEST	Aqualogica	Face Serum	0			0
WEST	Aqualogica	Moisturisers	0	0	0	1
WEST	Aqualogica	Sun Care	12	13	10	35
WEST	BBLUNT	5 Minute Shampoo	0	0	0	0
WEST	BBLUNT	Conditioner	0	0	0	0
WEST	BBLUNT	Creme Hair Colour	0	0	0	0
WEST	BBLUNT	Hair Mask	0	0	0	0
WEST	BBLUNT	Hair Serum	0		0	0
WEST	BBLUNT	Hair Spray	0	0	0	0
WEST	BBLUNT	Salon Secret	0	0	0	0
WEST	BBLUNT	Shampoo	0	0	0	1
WEST	Dr. Sheth's	Face Cleanser	0	0	0	0
WEST	Dr. Sheth's	Face Cream	0	0	0	1
WEST	Dr. Sheth's	Moisturisers	0	0	0	1
WEST	Dr. Sheth's	Sun Care	1	1	1	3
