Channel	Brand	SubCat	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
MT	Aqualogica	Sun Care	EAST	6	7	5	4	4	3	4	4	4	5	6	6	7	6	5
MT	Aqualogica	Sun Care	NORTH	10	11	8	6	6	5	6	5	5	6	6	13	13	19	17
MT	Aqualogica	Sun Care	SOUTH-1	13	15	11	10	11	11	9	9	7	11	10	11	15	15	13
MT	Aqualogica	Sun Care	SOUTH-2	4	5	4	3	3	2	2	2	2	3	3	5	6	7	5
MT	Aqualogica	Sun Care	WEST	9	7	5	4	4	3	6	5	5	6	7	11	12	13	10
MT	Aqualogica	Face Cleanser	EAST	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0
MT	Aqualogica	Face Cleanser	NORTH	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Aqualogica	Face Cleanser	SOUTH-1	2	2	2	2	2	2	1	2	1	2	1	1	2	2	1
MT	Aqualogica	Face Cleanser	SOUTH-2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
MT	Aqualogica	Face Cleanser	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Aqualogica	Moisturisers	EAST	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0
MT	Aqualogica	Moisturisers	NORTH	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
MT	Aqualogica	Moisturisers	SOUTH-1	2	2	2	2	2	1	1	2	1	2	1	1	1	1	1
MT	Aqualogica	Moisturisers	SOUTH-2	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0
MT	Aqualogica	Moisturisers	WEST	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MT	Aqualogica	Body Mist	SOUTH-1													0	0	1
MT	BBLUNT	Hair Spray	SOUTH-1	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2
MT	BBLUNT	Hair Spray	SOUTH-2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
MT	BBLUNT	Shampoo	EAST	1	2	1	1	2	0	1	1	1	1	0	0	0	0	0
MT	BBLUNT	Shampoo	NORTH	1	2	1	1	1	0	0	1	0	1	0	0	0	0	0
MT	BBLUNT	Shampoo	SOUTH-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	BBLUNT	Shampoo	SOUTH-2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MT	BBLUNT	Creme Hair Colour	EAST	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
MT	BBLUNT	Creme Hair Colour	NORTH	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MT	BBLUNT	Creme Hair Colour	SOUTH-1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0
MT	BBLUNT	5 Minute Shampoo	SOUTH-1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0
MT	Dr. Sheth's	Sun Care	WEST												0	1	1	1
