Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'8906087770558,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770640,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770657,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770664,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770671,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770695,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770701,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087770947,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771142,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771180,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771203,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771319,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771326,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771333,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771340,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771685,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771807,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771814,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771845,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771883,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771944,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771968,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087771982,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772040,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772170,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772187,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772279,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772330,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772378,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772439,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772460,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772484,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772491,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772545,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772552,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772613,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772859,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772873,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087772897,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773016,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773115,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773375,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773474,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773511,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773535,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087773924,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087774020,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087774259,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775089,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775096,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775126,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775188,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775522,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775539,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775546,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775607,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8906087775645,Brand_Pareto_Assortment_Fallback
