Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Apollo Healthco Limited_Rajasthan,Direct,0.01996,0.02994,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0091063,0.01494,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.7436645,2.37168,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0035534,0.00599,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0065136000000000005,0.01098,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.039087399999999994,0.06589,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0238048,0.04389,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0063817,0.01047,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0048651,0.00897,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.028403499999999998,0.04788,Aug'26,FY_26-27,North,Haryana,BBlunt,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0182127,0.02988,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.037098400000000004,0.0684,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0040514999999999995,0.00747,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.05267,0.09711,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.008509,0.01396,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.021869800000000002,0.03588,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.324774,0.5988,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0212725,0.0349,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0212725,0.0349,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.043281599999999996,0.0798,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.015148599999999998,0.02793,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0270103,0.0498,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0270103,0.0498,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.009274600000000001,0.0171,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.034072,0.06282,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0046373000000000004,0.00855,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0324611,0.05985,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0030914999999999996,0.0057,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0309154,0.057,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0154577,0.0285,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.10726440000000001,0.17598,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Apollo Healthco Limited_Faridabad,Direct,0.0819203,0.1344,Aug'26,FY_26-27,North,Haryana,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0370686,0.05988,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0074162,0.01198,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.1848204,0.33552,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0312936,0.05681,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0395288,0.07176,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.2055086,0.47952,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.1262857,0.204,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.15837969999999998,0.28752,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.08223559999999999,0.21564,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.11120569999999999,0.17964,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.11871860000000001,0.21552,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.1262857,0.204,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0889943,0.14376,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.021407100000000002,0.04995,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0470975,0.0855,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0741165,0.13455,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0137059,0.03594,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.131939,0.23952,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.1154466,0.20958,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0164924,0.02994,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0658373,0.11952,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.006853,0.01797,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0171257,0.03996,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0032941000000000003,0.00598,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.10279450000000001,0.26955,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.0704538,0.11381,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
Metro Cash & Carry India Pvt Ltd-(DC52)-T0RI,Direct,0.1541314,0.35964,Aug'26,FY_26-27,North,Delhi,Mamaearth,MT,MT
