Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Reliance Retail Limited Sc79,Direct,1666.63,2694.0,May'25,FY_25-26,West,Mumbai,Aqualogica,Reliance Retail,MT
Reliance Retail Limited Sc79,Direct,411424.97,991770.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited Sc79,Direct,30870.2,49900.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited_2364,Direct,10898.34,19912.0,May'25,FY_25-26,North,Haryana,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_2995,Direct,79520.32,144665.0,May'25,FY_25-26,North,Haryana,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_2996,Direct,42187.22,72871.0,May'25,FY_25-26,North,Punjab,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_3210,Direct,9918.6,17598.0,May'25,FY_25-26,Central,Madhya Pradesh,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_6209,Direct,23935.58,48033.0,May'25,FY_25-26,West,Pune,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_6221,Direct,55991.5,99286.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_6717,Direct,32929.64,58956.0,May'25,FY_25-26,North,Rajasthan,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_6722,Direct,19548.28,34087.0,May'25,FY_25-26,North,Delhi,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_6727,Direct,19052.56,34193.0,May'25,FY_25-26,North,Haryana,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR00,Direct,33916.12,63808.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR03,Direct,90958.54,160799.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR10,Direct,20319.44,38213.0,May'25,FY_25-26,West,Mumbai,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR27,Direct,47261.82,81511.0,May'25,FY_25-26,Central,Madhya Pradesh,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR30,Direct,31386.46,60163.0,May'25,FY_25-26,Central,Madhya Pradesh,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR60,Direct,23915.3,47484.0,May'25,FY_25-26,West,Gujarat,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR62,Direct,1111.7,1797.0,May'25,FY_25-26,East,Orissa,Aqualogica,Reliance Retail,MT
Reliance Retail Limited_FR62,Direct,2931.11,4738.0,May'25,FY_25-26,East,Orissa,BBlunt,Reliance Retail,MT
Reliance Retail Limited_FR62,Direct,17572.46,33582.0,May'25,FY_25-26,East,Orissa,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_FR62,Direct,3627.07,5863.0,May'25,FY_25-26,East,Orissa,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited_FR64,Direct,15983.85,30027.0,May'25,FY_25-26,East,Orissa,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_Fr87,Direct,117774.99,190376.0,May'25,FY_25-26,North,Haryana,Aqualogica,Reliance Retail,MT
Reliance Retail Limited_Fr87,Direct,2409859.15,6173297.0,May'25,FY_25-26,North,Haryana,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_Fr87,Direct,29004.91,48894.0,May'25,FY_25-26,North,Haryana,Pure Origin,Reliance Retail,MT
Reliance Retail Limited_Fr87,Direct,30870.39,49900.0,May'25,FY_25-26,North,Haryana,The Derma Co.,Reliance Retail,MT
Reliance Retail Limited_Fr89,Direct,0.02,0.0,May'25,FY_25-26,North,UPW,Aqualogica,Reliance Retail,MT
Reliance Retail Limited_Fr89,Direct,538616.74,1251825.0,May'25,FY_25-26,North,UPW,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_Fraz,Direct,19999.51,32328.0,May'25,FY_25-26,North,Punjab,Aqualogica,Reliance Retail,MT
Reliance Retail Limited_Fraz,Direct,928236.83,2311884.0,May'25,FY_25-26,North,Punjab,Mamaearth,Reliance Retail,MT
Reliance Retail Limited_Fraz,Direct,30870.3,49900.0,May'25,FY_25-26,North,Punjab,The Derma Co.,Reliance Retail,MT
