,,,,,EAN,,,,
Regional,Sasta Sundar,NPD,EAST,Mamaearth,8904417306224,ME Onion Hair Fall Control Shampoo 100 ml,Hair,Shampoo,Onion
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417306514,Glow+ Dewy Sunscreen 80gm,Face,Sun Care,Glow+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417308495,Detan+ Smoothie Face Wash,Face,Face Cleanser,Detan+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417308587,Radiance+ OFM 100gms,Face,Moisturisers,Radiance+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417311389,AQ Detan+ Dewy Sunscreen Gel SPF 50+ PA+++++ 80g,Face,Sun Care,Detan+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417311532,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Face,Sun Care,Illuminate+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417313192,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 80g,Face,Sun Care,Illuminate+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417314021,Refresh+ Perfume Body Mist- Dewy floral kiss 150ml,Fragrance,Body Mist,Refresh+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417314526,Barrier+ Hydra Gel Moisturizer 200g,Face,Moisturisers,Barrier+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417316377,Glow+ dewy Sunscreen 125g,Face,Sun Care,Glow+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087777090,Barrier+ Repair Sunscreen 80g,Face,Sun Care,Barrier+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087778110,Hydrate+ Dewy Sunscreen 50gm,Face,Sun Care,Hydrate+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087778189,Glow+ Smoothie Face Wash 100ml,Face,Face Cleanser,Glow+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087778202,Glow+ Jello Moisturizer 50gm,Face,Moisturisers,Glow+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087779377,Glow+ Concentrate Face Serum 30ml,Face,Face Serum,Glow+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8906087779407,Radiance+ Face Wash,Face,Face Cleanser,Radiance+
SIS,Shoppers stop ,NPD,EAST,Aqualogica,8904417302073,Radiance+ Dewy Sunscreen 50gm,Face,Sun Care,Radiance+
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417302707,SS 5 MIN s HC-C Dark BROWN(20 ml * 5),Hair Colour,5 Minute Shampoo,Salon Secret
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417303285,Intense Moisture Shampoo 300 ml,Hair Care,Shampoo,Intense Moisture
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417303292,Hair Fall Control Shampoo 300 ml,Hair Care,Shampoo,Hair Fall
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417305098,Hair Fall Control Conditioner 250 g,Hair Care,Conditioner,Hair Fall
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417305104,Anti-Dandruff Shampoo 300 ml,Hair Care,Shampoo,Anti Dandruff
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417307283,Anti-Dandruff Conditioner 250 g,Hair Care,Conditioner,Anti Dandruff
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417307320,Intense Moisture Hair Mask 250 g,Hair Care,Hair Mask,Intense Moisture
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417310825,Intense Shine Hair Mask 250 g,Hair Care,Hair Mask,Intense Shine
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417312416,BB Intense Moisture Hair Serum 70 ml,Hair Care,Hair Serum,Intense Moisture
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8906087779506,7 In 1 Repair & Revive Hair Mask 250g,Hair Care,Hair Mask,7 In 1 Repair & Revive
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8906087779513,Hot Shot Hold Spray 300 ml,Styling Products,Hair Spray,Hot Shot
SIS,Shoppers stop ,NPD,EAST,BBLUNT,8904417303407,Hot Shot Finish Spray 200 ml,Styling Products,Hair Spray,Hot Shot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417303445,Rose T 100% N Lip balm 2 g(Blister Pack),Face,Lip Balm,Rose
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417306439,Cherry T 100%N L Balm 2 g (Blister Pack),Face,Lip Balm,Cherry
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417307740,Multani Mitti Face Wash 100 ml,Face,Face Cleanser,Multani Mitti
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417307757,Rosemary Anti-Hair Fall Shampoo 250ml,Hair,Shampoo,Rosemary
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417307764,Rosemary Anti-Hair Fall Conditioner250ml,Hair,Conditioner,Rosemary
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417310030,Rosemary Hair Growth Oil 150ml,Hair,Hair Oil,Rosemary
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417310351,ME Beetroot Tinted 100%Natural LipBalm2g,Face,Lip Balm,Beetroot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417311549,ME Rosemary Anti-Hairfall Shampoo 400 ml,Hair,Shampoo,Rosemary
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417312171,Beetroot Gentle Face Wash 100 ml,Face,Face Cleanser,Beetroot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417312386,Beetroot Daily Glow face Cream 80 g,Face,Face Cream,Beetroot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417312546,Hibiscus Damage Repair Shampoo 250 ml,Hair,Shampoo,Hibiscus
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417312867,Vitamin C Face Wash 150 ml,Face,Face Cleanser,Vitamin C
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417312997,ME Beetroot Hydraful Sunscreen 50 g,Face,Sun Care,Beetroot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417313420,Beetroot Hydraful Essence Serum 50 ml,Face,Face Serum,Beetroot
SIS,Shoppers stop ,NPD,EAST,Mamaearth,8904417313574,ME Rice Water Dewy Sunscreen 50 g,Face,Sun Care,Rice
