Ship To Name,Direct/Distributor,Chain Name,State,Zone,NSV,MRP value,Brand,Revised month,Month,FY,Channel,Unique,Calulation for unique,Cont%
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,0.0,0.1,BBlunt,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45383South-1KarnatakaBBluntFY_24-25MTDirectApril'240.0,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL,Direct,Metro-CNC-RRL,Karnataka,South-1,2.1,4.7,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC11)-T0SL45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'242.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,1.3,2.0,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45383South-2TelanganaAqualogicaFY_24-25MTDirectApril'241.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,0.1,0.2,BBlunt,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45383South-2TelanganaBBluntFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,0.9,1.6,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45383South-2TelanganaMamaearthFY_24-25MTDirectApril'240.9,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX,Direct,Metro-CNC-RRL,Telangana,South-2,2.3,3.6,The Derma Co,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC12)-T0QX45383South-2TelanganaThe Derma CoFY_24-25MTDirectApril'242.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro-CNC-RRL,Karnataka,South-1,0.2,0.3,BBlunt,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN45383South-1KarnatakaBBluntFY_24-25MTDirectApril'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN,Direct,Metro-CNC-RRL,Karnataka,South-1,2.1,4.0,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC18)-T0SN45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'242.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK,Direct,Metro-CNC-RRL,Mumbai,West,0.2,0.4,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC20)-T0RK45383WestMumbaiMamaearthFY_24-25MTDirectApril'240.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL,Direct,Metro-CNC-RRL,Mumbai,West,1.8,2.9,Aqualogica,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC23)-T0RL45383WestMumbaiAqualogicaFY_24-25MTDirectApril'241.8,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
