FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Hair,,1191007062.0,Apollo Healthco Limited-Ore,8906087772897.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Bhringamla,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,349.0,24.0,4542.93,817.73,8376.0,0.35999761222540594,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.045429300000000006,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087772613.0,300.0,Mamaearth,Baby,Baby,Dusting Powder,Solution Oriented,Dusting Powder with Organic Oatmeal & Arrowroot Powder for Babies - 300g,349.0,24.0,4542.93,817.73,8376.0,0.35999761222540594,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.045429300000000006,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087776215.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Milky,Milky Soft Bathing Bar For Babies (75 g*2),249.0,120.0,16206.13,2917.1,29880.0,0.3599989959839358,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.1620613,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,48.0,7003.13,1260.56,12912.0,0.3599992255266419,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0700313,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087770022.0,200.0,Mamaearth,Baby,Baby,Shampoo,Solution Oriented,ME Baby gentle cleansing shampoo 200ml,249.0,72.0,9723.68,1750.26,17928.0,0.3599988844265952,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0972368,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Baby,,1191007062.0,Apollo Healthco Limited-Ore,8906087776109.0,400.0,Mamaearth,Baby,Baby,Shampoo,Milky,Milky Soft Shampoo For Babies 400 ml,499.0,24.0,6495.47,1169.18,11976.0,0.35999916499665996,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0649547,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8906087770657.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Charcoal,Charcoal Facewash for oil control 100ml,269.0,15.0,2188.47,393.92,4035.0,0.36000247831474597,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.021884699999999997,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,399.0,144.0,31162.64,5609.26,57456.0,0.35999895572263996,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.31162639999999997,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8904417303322.0,4.0,Mamaearth,Others,Face,Lip Balm,Shea Butter,Nourishing tinted 100%Natural Lip Balm VitE & sheabutter,149.0,24.0,1939.53,349.12,3576.0,0.35999720357941833,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0193953,MT
FY'25-26,Jul'25,PO-S000241528,8191005542.0,45840.0,Face,,1191007062.0,Apollo Healthco Limited-Ore,8906087770657.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Charcoal,Charcoal Facewash for oil control 100ml,269.0,9.0,1313.08,236.35,2421.0,0.3600041305245767,1313.0,1102419.0,Sales,Direct,East,Orissa,Apollo Healthco,Apollo Healthco,0.0,1102419.0,0.0131308,MT
